"","PD_net.out_nodes"
"1","FAM46C"
"2","PLAT"
"3","EVI2B"
"4","KIF21A"
"5","PTPN3"
"6","ADAM28"
"7","IL2RG"
"8","AHNAK2"
"9","CYTIP"
"10","OSBPL6"
"11","CD200"
"12","KIAA0040"
"13","NSG1"
"14","TGM2"
"15","A2M"
"16","ADGRF4"
"17","TGFB3"
"18","GYPC"
"19","C10orf10"
"20","ELOVL4"
"21","PCDH17"
"22","SERPINB8"
"23","PPM1L"
"24","EXPH5"
"25","SEPT9"
"26","SLC16A9"
"27","PAQR5"
"28","ISL1"
"29","NEBL"
"30","ST8SIA4"
"31","MMP7"
"32","ARAP2"
"33","STK17B"
"34","GLCCI1"
"35","KRT80"
"36","NMNAT2"
"37","DENND2C"
"38","ATP2A3"
"39","PARM1"
"40","SOX6"
"41","CTSS"
"42","FOXP2"
"43","FBXO16"
"44","PIK3R3"
"45","P2RY1"
"46","SFRP4"
"47","WFS1"
"48","LAPTM5"
"49","GNG7"
"50","LMO4"
"51","HLF"
"52","DSC3"
"53","APH1B"
"54","LCP1"
"55","SAMSN1"
"56","RASGRP3"
"57","SYT11"
"58","ADAMTS9"
"59","NUP210"
"60","GUCY1B3"
"61","PFKFB2"
"62","NXPE3"
"63","SCAMP5"
"64","CHN1"
"65","ATAD2"
"66","PLXNC1"
"67","RASD2"
"68","CDC42EP3"
"69","ACACA"
"70","PGAP1"
"71","DCN"
"72","LGALS3"
"73","DUSP5"
"74","IGF1R"
"75","HSPA4L"
"76","VCAN"
"77","PLA1A"
"78","RRAGD"
"79","ENO2"
"80","CYFIP2"
"81","RAB26"
"82","ANKRD22"
"83","ADGRE5"
"84","AKT3"
"85","ADGRG6"
"86","SIDT1"
"87","BASP1"
"88","IGFBP5"
"89","KLF4"
"90","HOOK1"
"91","ADGRE2"
"92","SLC16A7"
"93","MGLL"
"94","TMEM45B"
"95","SUSD4"
"96","MEGF9"
"97","SOCS3"
"98","SIPA1L2"
"99","CDH6"
"100","SERPINB5"
"101","KYNU"
"102","DDIT4"
"103","SEMA6D"
"104","ANGEL1"
"105","PTGDS"
"106","MYCBP2"
"107","VAV3"
"108","MYH10"
"109","MMP12"
"110","SH3PXD2B"
"111","C1S"
"112","TFPI"
"113","VPS41"
"114","OXCT1"
"115","SPON1"
"116","ERO1B"
"117","IL7R"
"118","SERPINB7"
"119","RPS6KA6"
"120","CYR61"
"121","CYYR1"
"122","GDA"
"123","KRT6B"
"124","HSD17B14"
"125","KLF12"
"126","KIF3A"
"127","CTNNAL1"
"128","PDZD2"
"129","GLIPR1"
"130","TBL1X"
"131","RCAN3"
"132","CACNA1C"
"133","PLEKHA6"
"134","ST3GAL5"
"135","G0S2"
"136","MGP"
"137","IL24"
"138","MGAT4A"
"139","RAB29"
"140","NCEH1"
"141","CSF2RA"
"142","IGFBP4"
"143","AASDH"
"144","AQP9"
"145","MAPT"
"146","TMEM108"
"147","EGFR"
"148","PDGFC"
"149","TSPAN7"
"150","AACS"
"151","ACSL4"
"152","CCND1"
"153","ROBO2"
"154","PCLO"
"155","OVOL1"
"156","FAM135A"
"157","TPPP3"
"158","RPS6KA5"
"159","PHLDA1"
"160","C1QTNF3-AMACR"
"161","GADD45B"
"162","VCAM1"
"163","C1orf106"
"164","FLT1"
"165","NEK6"
"166","PPP2R2C"
"167","THBS1"
"168","SLIT2"
"169","CHL1"
"170","PMEPA1"
"171","GGT5"
"172","TGFBR3"
"173","FBLN5"
"174","TMEM17"
"175","ETFDH"
"176","PAK3"
"177","FNDC4"
"178","PLEK2"
"179","MYEF2"
"180","THAP2"
"181","PPARD"
"182","GJA1"
"183","DHRS9"
"184","SYT13"
"185","SLC7A8"
"186","FGF2"
"187","TMOD2"
"188","IGFBP3"
"189","KLF5"
"190","JPH1"
"191","TSPAN33"
"192","SMIM3"
"193","EMP3"
"194","PDE8B"
"195","MAFB"
"196","ELK3"
"197","LYST"
"198","RASA3"
"199","MID1"
"200","ADAMTS1"
"201","ANTXR2"
"202","ZEB2"
"203","PLAUR"
"204","CTSK"
"205","PDK3"
"206","SEPT3"
"207","FERMT1"
"208","HIBCH"
"209","CNTN4"
"210","F3"
"211","CDON"
"212","ZNF462"
"213","RHPN2"
"214","WWTR1"
